rid,label,conference_name
203,r7,in 10th acm symposium on parallel algorithms and architectures
204,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
205,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
206,r7,in proceedings of the acm symposium on parallel algorithms and architectures
207,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
208,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
209,r7,in proceedings of the 10th symposium on parallel algorithms and architectures
210,r7,in 10th acm symposium on parallel algorithms and architectures
211,r7,in proceedings of the 10th symposium on parallel algorithms and architectures
212,r7,in proceedings of the acm symposium on parallel algorithms and architectures
213,r7,in proceedings of the 10th acm symposium on parallel algorithms and architectures
214,r7,in proceedings of the 10th acm symposium on parallel algorithms and architectures
215,r7,in proc of the 10th acm symposium on parallel algorithms and architectures spaa
216,r7,proc of the 10th acm symp on parallel algorithms and architectures
217,r7,proceedings of the tenth annual acm symposium on parallel algorithms and architectures
218,r7,in acm symp parallel algorithms and architectures
219,r7,in acm symp parallel algorithms and architectures
220,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
221,r7,in proc of the 10th acm symposium on parallel algorithms and architectures
222,r7,in proceedings of the 10th acm symposium on parallel algorithms and architectures
223,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
224,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
225,r7,in proceedings of the 10th acm symposium on parallel algorithms and architectures
226,r7,in proc 10th acm symp on parallel algorithms and architectures
227,r7,in proc of the 10th acm symposium on parallel algorithms and architectures
228,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
229,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
230,r7,in acm symposium on parallel algorithms and architectures
231,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
232,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
233,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
234,r7,in acm symp parallel algorithms and architectures
235,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
236,r7,in acm symposium on parallel algorithms and architectures
237,r7,in acm symp parallel algorithms and architectures
238,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
239,r7,in spaa annual acm symposium on parallel algorithms and architectures
240,r7,in acm symposium on parallel algorithms and architectures spaa
241,r8,in advances in nerual information processing systems 8
242,r8,advances in neural information processing systems 8
243,r8,advances in neural information processing systems 8
244,r8,advances in neural information processing systems 8
245,r8,advances in neural information processing systems
246,r8,in advances in neural information processing systems 8
247,r8,on the settlingtimeofthe congested gi=g=1 queue advances in applied probability
248,r8,in advances in neural information processing systems
249,r8,advances in neural information processing systems 8
250,r8,advances in neural information processing systems
251,r8,in advances in neural information processing systems 8
252,r8,in advances in neural information processing systems 8
253,r8,on the settling timeofthe congested gi=g=1 queue advances in applied probability
254,r8,advances in neural information processing systems 8
255,r8,in advances in neural information processing systems 8
256,r8,neural information processing systems 8
257,r8,advances in neural information processing systems
258,r8,in touretzky
259,r8,in advances in neural information processing systems
260,r8,advances in neural information processing systems
261,r8,advances in neural information processing systems 8
262,r8,advances in neural information processing systems 8
263,r8,neural information processing systems 8
264,r8,in advances in neural information processing systems 8
265,r8,advances in neural information processing systems 8
266,r8,advances in neural information processing systems proceedings of the
267,r8,conference
268,r8,neural information processing systems 8
269,r8,advances in neural information processing systems 8
270,r8,in nips 8
271,r8,neural information processing systems 8
272,r8,advances in neural information processing systems 8
273,r8,in advances in neural information processing systems 8
274,r8,advances in neural information processing systems 8
275,r8,advances in neural information processing systems 8
276,r8,advances in neural information processing systems 8
277,r8,in advances in neural information processing systems
278,r8,advances in neural information processing systems 8
279,r8,in advances in neural information processing systems proceedings of the
280,r8,conference
281,r8,in advances in neural information processing systems
282,r8,in neural information processing systems 8
283,r8,advances in neural information processing systems 8
284,r8,advances in neural information processing systems 8
285,r8,in mit press editor advances in neural information processing systems 8
286,r8,advances in neural information processing systems 8
287,r8,proceedings of the
288,r8,conference
289,r8,advances in neural information processing systems
290,r8,in advances in neural information processing systems 8
291,r8,advances in neural information processing systems 8
292,r8,advances in neural information processing systems
293,r8,neural information processing systems 8
294,r8,advances in neural information processing systems 8
295,r8,advances in neural information processing systems 8
296,r8,proceedings of the
297,r8,conference
298,r8,in advances in neural information processing systems
299,r8,advances in neural information processing systems
300,r8,advances in neural information processing systems 8
301,r8,in advances in neural information processing systems 8
302,r8,in advances in neural information processing systems 8
303,r8,proceedings of the
304,r8,conference
305,r8,advances in neural information processing systems proceedings of the
306,r8,conference
307,r8,advances in neural information processing systems
308,r8,neural information processing systems nips
309,r8,in advances in neural information processing systems
310,r8,advances in neural neural information processing systems
311,r8,advances in neural information processing systems
312,r8,advances in neural information processing systems 8
313,r8,advances in neural information processing systems proceedings of the
314,r8,conference
315,r8,advances in neural information processing systems 8
316,r8,in nips
317,r8,advances in neural information processing systems
318,r8,in touretzky
319,r8,neural information processing systems 8
320,r8,in touretzky
321,r8,advances in neural information processing systems proceedings of the
322,r8,conference
323,r8,advances in neural information processing systems 8
324,r8,in advances in neural information processing systems vol 8
325,r8,advances in neural information processing systems 8
326,r8,advances in neural information processing systems
327,r8,advances in neural information processing systems 8
328,r8,in advances in neural information processing systems
329,r8,advances in neural information processing systems
330,r8,advances in neural information processing systems proceesings of the
331,r8,in neural information processing systems 8
332,r8,advances in neural information processing systems 8
333,r8,in advances in neural information processing systems 8
334,r8,in ds touretzky mc mozer me hasselmo eds advances in neural information processing systems 8
335,r8,advances in neural information processing systems proceedings of the
336,r8,conference
337,r8,neural information processing systems 8
338,r8,in advances in neural information processing systems 8
339,r8,neural information processing systems 8
340,r8,in advances in neural information processing systems 8
341,r8,on the settling time of the congested gi=g=1 queue advances in applied probability
342,r8,neural information processing systems 8
343,r8,in advances in neural information processing systems
344,r8,neural information processing systems 8
345,r8,in advances in neural information processing systems 8
346,r8,in advances in neural information processing systems
347,r9,in 20th symp on theory of computing
348,r9,in 20 th annual acm symposium on theory of computing stoc
349,r9,in proc of acm symp on theory of computing stoc
350,r9,in proceedings of the 20th annual acm symposium on theory of computing
351,r9,in 20th acm symposium on the theory of computing
352,r9,in 20th symp on theory of computing
353,r9,in 20 th annual acm symposium on theory of computing stoc
354,r9,in 20 th annual acm symposium on theory of computing stoc
355,r9,in 20th acm symposium on the theory of computing
356,r9,in 20th annual acm symposium on theory of computing stoc
357,r9,in proc of acm symp on theory of computing stoc
358,r9,in 20th acm symposium on the theory of computing
359,r9,ann acm symp on theory of computing stoc
360,r9,in 20 th annual acm symposium on theory of computing stoc
361,r9,in proceedings of the 20th annual acm symposium on theory of computing
362,r9,in 20th acm symposium on the theory of computing
363,r9,in 20th symp on theory of computing
364,r9,in 20th symp on theory of computing
365,r9,in 20th acm symposium on the theory of computing
366,r9,in acm stoc
367,r9,in 20 th annual acm symposium on theory of computing stoc
368,r9,in 20 th annual acm symposium on theory of computing stoc
369,r9,in 20th acm symp theory of computing
370,r9,in 20th acm symposium on the theory of computing
371,r10,in proceedings of the 4th international symposium on programming language implementation and logic programming
372,r10,in proc of plilp
373,r10,proceedings of the fourth international symposium on programming language implementation and logic programming plilp 92
374,r10,proc plilp
375,r10,proceedings of the fourth international symposium on programming language implementation and logic programming plilp
376,r10,proceedings of plilp
377,r10,proceeding of the fourth international symposium on programming language implementation and logic programming plilp
378,r10,in proceedings of the 4th international symposium on programming language implementation and logic programming
379,r10,proc of plilp
380,r11,in proceedings of the european conference on artificial intelligence
381,r11,in proceedings of the european conference on artificial intelligence
382,r11,european ai conference ecai 92
383,r11,in proceedings of ecai 92 10 th european conference on artificial intelligence
384,r11,in proceedings of the tenth european conference on artificial intelligence
385,r11,in proceedings of the tenth european conference on artificial intelligence
386,r11,in proceedings of the tenth european conference on artificial intelligence
387,r11,in proceedings of the european conference on artificial intelligence
388,r11,in proceedings of the tenth european conferenceonartificial intelligence
389,r11,ecai
390,r11,in proceedings of the european conference on artificial intelligence
391,r11,proc ecai 92
392,r11,in proc ecai
393,r11,in proceedings 10th european conference on artificial intelligence
394,r11,in proceedings of the tenth european conference on artificial intelligence
395,r11,in proceedings european conference on artificial intelligence ecai 92
396,r11,in proceedings of the tenth european conferenceonartificial intelligence
397,r11,in proceedings of the european conference on artificial intelligence
398,r11,in ecai 92 10th european conference on artifical intelligence
399,r11,in ecai
400,r12,in paper presented at the 12th workshop on algebraic development techniques
401,r12,paper presented at the 12th workshop on algebraic development techniques
402,r12,paper presented at the 12th workshop on algebraic development techniques
403,r12,paper presented at the 12th workshop on algebraic development techniques
404,r12,recent trends in algebraic development techniques wadt 97 volume 1376 of lncs
405,r12,paper presented at 12th workshop on algebraic development techniques
406,r12,paper presented at the 12th workshop on algebraic developmenttechniques
407,r12,paper presented at 12th workshop on algebraic development techniques
408,r12,paper presented at the 12th workshop on algebraic development techniques
409,r12,12th workshop on algebraic development techniques
410,r12,12th workshop on algebraic development techniques
411,r12,in recent trends in algebraic development techniques volume 1376 of lncs
412,r12,12th workshop on algebraic development techniques
413,r12,paper presented at the 12th workshop on algebraic development techniques
414,r12,in proc 12th workshop on algebraic development techniques springer verlag lecture notes in computer science
415,r12,in recent trends in algebraic development techniques volume 1376 of lncs
416,r12,paper presented at the 12th workshop on algebraic development techniques
417,r13,in 18th international conference on logic programming
418,r13,18th international conference on logic programming
419,r13,18th international conference on logic programming
420,r13,in 18th international conference on logic programming volume lncs
421,r13,proceedings of iclp
422,r13,international conference on logic programming copenhagen
423,r13,in 18th international conference on logic programming volume lncs
424,r13,in proc int conf on logic programming
425,r13,in 18th international conference on logic programming volume lncs
426,r13,18th international conference on logic programming iclp
427,r13,in 18th international conference on logic programming volume lncs
428,r13,in 18th international conferenceonlogic programming volume lncs
429,r14,in proceedings of the conference on functional programming languages and computer architecture
430,r14,in 6th acm conference on functional programming languages and computer architecture
431,r14,in conf on functional programming and computer architecture fpca
432,r14,in sixth conference on functional programming languages and computer architecture
433,r14,in conf on functional programming and computer architecture fpca
434,r14,in proceedings of the acm conference on functional programming languages and computer architecture fpca
435,r14,in proc acm conferenceonfunctional programming and computer architecture
436,r14,functional programming and computer architecture fpca 93
437,r14,in conf on functional programming and computer architecture fpca
438,r14,in proceedings of the conference on functional programming languages and computer architecture copenhagen
439,r14,in proceedings 6th acm sigplan sigarch international conference on functional programming languages and computer architecture fpca
440,r14,in fpca
441,r14,sixth conference on functional programming languages and computer architecture
442,r14,in proc conference on functional programming languages and computer architecture
443,r14,in proc conference on functional programming languages and computer architecture
444,r14,in proceedings of the conference on functional programming and computer architecture
445,r14,proc acm conference on functional programming and computer architecture
446,r14,in international conference on functional programming languages and computer fpca
447,r14,in proc conference on functional programming languages and computer architecture
448,r14,in conf on functional programming and computer architecture fpca
449,r14,in fpca 93 conference on functional programming languages and computer architecture
450,r14,in functional programming languages and computer architecture
451,r14,in proc conference on functional programming languages and computer architecture
452,r14,proceedings 6th acm sigplan sigarch international conference on functional programming languages and computer architecture fpca
453,r14,in conf on functional programming and computer architecture fpca
454,r14,in 6th acm conference on functional programming languages and computer architecture
455,r14,sixth conference on functional programming languages and computer architecture
456,r14,in proc conference on functional programming languages and computer architecture
457,r14,proc fpca
458,r14,in proc conference on functional programming languages and computer architecture
459,r14,in proc conference on functional programming languages and computer architecture
460,r14,in proceedings of the 6th acm conference on functional programming languages and computer architecture
461,r14,in proceedings 6 th acm sigplan sigarch int conf on functional programming languages and computer architecture fpca
462,r14,in fpca
463,r14,conference on functional programming languages and computer architecture
464,r14,in proceedings of the 6th acm conference on functional programming languages and computer architecture fpca
465,r14,in conference on functional programming languages and computer architecture
466,r14,in proceedings of the 6th acm conference on functional programming languages and computer architecture fpca
467,r14,in proc conference on functional programming languages and computer architecture
468,r14,in proceedings 6 th acm sigplan sigarch int conf on functional programming languages and computer architecture fpca
469,r14,in conf on func prog languages and computer architecture
470,r14,in fpca
471,r14,in functional programming languages and computer architecture proceedings
472,r14,in proc conference on functional programming languages and computer architecture
473,r14,in sixth conference on functional programming languages and computer architecture
474,r14,in proceedings of the 6th acm conference on functional programming languages and computer architecture fpca
475,r14,in proc conference on functional programming languages and computer architecture
476,r14,sixth conference on functional programming languages and computer architecture
477,r14,in fpca
478,r14,in 6th acm conferenceonfunctional programming languages and computer architecture
479,r14,sixth conference on functional programming languages and computer architecture
480,r14,in proceedings 6th acm sigplan sigarch international conference on functional programming languages and computer architecture fpca
481,r14,functional programming and computer architecture fpca 93
482,r14,proceedings conference on functional programming and computer architecture
483,r14,in fpca
484,r14,in proc conference on functional programming languages and computer architecture
485,r14,in international conference on functional programming languages and computer fpca
486,r14,in proc conference on functional programming languages and computer architecture
487,r14,proceedings 6th acm sigplan sigarch int conf on functional programming languages and computer architecture fpca
488,r14,in proceedings 6th acm sigplan sigarch international conference on functional programming languages and computer architecture fpca
489,r14,in conference on functional programming languages and computer architecture
490,r14,in proc conference on functional programming languages and computer architecture
491,r14,in proceedings conferenceonfunctional programming and computer architecture
492,r14,in proc conferenceonfunctional programming languages and computer architecture
493,r14,proc conference on functional programming languages and computer architecture copenhagen
494,r14,in proc conference on functional programming languages and computer architecture
495,r14,proc acm conference on functional programming and computer architectures fpca
496,r14,proc conf on functional programming and computer architecture fpca
497,r14,sixth conference on functional programming languages and computer architecture
498,r14,in proc conference on functional programming languages and computer architecture
499,r14,in proc conference on functional programming languages and computer architecture
500,r14,sixth conference on functional programming languages and computer architecture
501,r14,in proceedings of the 6th acm conference on functional programming languages and computer architecture
502,r14,in proc conference on functional programming languages and computer architecture
503,r14,proc conference on functional programming languages and computer architecture copenhagen
504,r14,in proceedings 6th acm sigplan sigarch intl conf on functional programming languages and computer architecture fpca
505,r14,in proc conference on functional programming languages and computer architecture
506,r15,the proceedings of the first international conference on audio and video based biometric person authentication
507,r15,in international conference on audio and video based biometric person authentication
508,r15,in proceedings of audio and video based biometric person authentication
509,r15,in proceedings of audio and video based biometric person authentication
510,r15,in proc first intl conf on audio and video based biometric person authentication
511,r15,in proceedings of audio and video based biometric person authentication
512,r15,in proceedings of the first international conference on audio and video based biometric person authentication
513,r15,in international conference on audio and video based biometric person authentication
514,r15,in international conference on audio and video based biometric person authentication
515,r15,in proceedings of audio and video based biometric person authentication
516,r15,in proceedings of the first international conference on audio and video based biometric person authentication
517,r15,in international conference on audio and video based biometric person authentication
518,r15,in proc first intl conf on audio and video based biometric person authentication
519,r15,in international conference on audio and video based biometric person authentication
520,r15,in proceedings of the first international conference on audio and video based biometric person authentication
521,r15,proceedings of first international conference on audio and video based biometric person authentication
522,r16,in proc 11th ieee symposium on logic in computer science
523,r16,in 11th annual ieee symp logic in computer science lics 96
524,r16,in ieee lics
525,r16,in lics 96 logic in computer science
526,r16,in proceedings of the 11th annual symposium on logic in computer science
527,r16,in proceedings of the 11th annual symposium on logic in computer science
528,r16,cav
529,r16,in proceedings of the 11th annual symposium on logic in computer science
530,r16,in ieee symp on logic in computer science
531,r16,in proceedings 11 th annual ieee symposium on logic in computer science
532,r16,in proc 11th lics
533,r16,in proc 11th annual ieee symposium on logic in computer science lics
534,r16,in proceedings of the 11th annual symposium on logic in computer science
535,r16,in proc lics
536,r16,in proc 11th annual ieee symposium on logic in computer science lics
537,r16,in proc 11th lics
538,r16,in proc 11 th annual ieee symposium on logic in computer science ieee
539,r16,in proc of ieee lics
540,r16,in proceedings of the 11th ieee symposium on logic in computer science lics 96
541,r16,in proc 11th ieee symposium on logic in computer science
542,r16,in proc of lics
543,r16,in proceedings of the 11th annual symposium on logic in computer science
544,r16,in proc of the 11th annual symposium on logic in computer science
545,r16,in proceedings of the 11th annual symposium on logic in computer science
546,r16,in proceedings of the 11th annual symposium on logic in computer science
547,r16,in lics 96 logic in computer science
548,r16,in 11th ieee symposium on logic in computer science
549,r16,in proceedings 11 th annual ieee symposium on logic in computer science
550,r16,in ieee symp on logic in computer science
551,r16,in proc 11th ieee symposium on logic in computer science
552,r16,proc ieee lics
553,r16,in proceedings of the 11th annual symposium on logic in computer science
554,r16,in proceedings of the 11th ieee symposium on logic in computer science
555,r16,in proceedings of the 11th ieee symposium on logic in computer science
556,r16,in proc 11th annual ieee symposium on logic in computer science lics
557,r16,in proceedings of the 11th ieee syposium on logic in computer science
558,r16,proceedings of the 11th annual symposium on logic in computer science
559,r16,in proceedings of the 11th annual symposium on logic in computer science
560,r16,cav
561,r16,in proc 11 th annual ieee symposium on logic in computer science ieee
562,r16,in proceedings of the 11th ieee symposium on logic in computer science
563,r16,in proceedings of the 11th annual symposium on logic in computer science
564,r16,in proc of lics
565,r16,logic in computer science
566,r16,in proceedings of the 11th annual symposium on logic in computer science
567,r16,in ieee lics
568,r16,in proc 11th ieee symposium on logic in computer science
569,r16,in proceedings of the 11th annual ieee symposium on logic in computer science
570,r16,in proc of lics 96 logic in computer science
571,r16,in proceedings of the 11th ieee symposium on logic in computer science
572,r16,in proc 11 th annual ieee symposium on logic in computer science ieee
573,r16,in proceedings 11 th annual ieee symposium on logic in computer science
574,r16,in 11th annual ieee symp logic in computer science lics 96
575,r16,proceedings of the 11th annual symposium on logic in computer science
576,r16,in proceedings of the 11th ieee symposium on logic in computer science lics 96
577,r16,in proceedings 11 th annual ieee symposium on logic in computer science
578,r16,in proceedings of the 11th ieee symposium on logic in computer science lics
579,r16,proc 11th symp on logic in computer science lics
580,r16,in proc of lics
581,r16,in proc of the 11th annual ieee symposium on logic in computer science lics
582,r16,in proceedings of the 11th annual symposium on logic in computer science
583,r16,cav
584,r16,in proc ieee symp logic in computer science
585,r16,proc 11th symp on logic in computer science lics
586,r16,in proceedings of the 11th annual symposium on logic in computer science
587,r16,in proceedings of the 11th ieee syposium on logic in computer science
588,r16,in proc 11th annual ieee symposium on logic in computer science lics
589,r16,in proceedings of the 11th annual symposium on logic in computer science
590,r16,in proceedings of the 11th annual symposium on logic in computer science
591,r16,in proceedings of the 11th annual symposium on logic in computer science
592,r16,in 11 th ieee symposium on logic in computer science
593,r16,in proceedings of the 11th annual symposium on logic in computer science
594,r16,in lics
595,r16,in 11 th ieee symposium on logic in computer science
596,r16,proc lics
597,r16,in proc ieee symp logic in computer science
598,r16,in proc lics
599,r16,in proceedings of the 11th ieee symposium on logic in computer science
600,r16,in proceedings of the 11th annual symposium on logic in computer science
601,r16,in proc 11th annual ieee symposium on logic in computer science lics
602,r16,in proceedings of the 11th annual symposium on logic in computer science
603,r16,in proceedings of the 11th ieee symposium on logic in computer science
604,r16,in proceedings of the 11th annual symposium on logic in computer science
605,r16,in 11th annual ieee symp logic in computer science lics
606,r16,in proc of lics
607,r16,in proceedings of the 11th annual symposium on logic in computer science
608,r16,in proc 11th annual ieee symposium on logic in computer science lics
609,r16,in lics
610,r16,in proc of lics
